S.NO.,NAME OF THE INSTITUTE,THEMES/TOPICS,DURATION OF THE COURSE IN YEAR 2022-2023,NO. OF OFFICERS NOMINATED IN YEAR 2022-2023,NO. OF OFFICERS PARTICIPATED IN YEAR 2022-2023,PERCENTAGE OF PARTICIPATED OFFICERS IN YEAR 2022-2023
51,"Tropical Forest Research Institute, Jabalpur",Agroforestry & its management for livelihood security,10/01/2023 To 12/01/2023,40,11,27.5
52,"Rain Forest Research Institute (RFRI), Jorhat",Role of Forestry in Sustainable Development of People,10/01/2023 To 11/01/2023,5,5,100
53,"Rain Forest Research Institute (RFRI), Jorhat",Role of Forestry in Sustainable Development of People,10/01/2023 To 12/01/2023,36,16,44.44
54,"Indian Institute of Forest Management, Bhopal",Forest Certification in Indian Context,16/01/2023 To 20/01/2023,39,11,28.21
55,"UPES School of Laws, Dehradun",Wildlife and FC Act,16/01/2023 To 20/01/2023,0,0,0
56,"Forest Research Instiute (FRI), Dehradun",Urban forestry - concept to increase the green cover and biodiversity,23/01/2023 To 25/01/2023,42,17,40.48
57,"Wildlife Institute of India (WII), Dehradun",Management of Coastal and Marine Biodiversity in India: Challenges and Prospect,06/02/2023 To 10/02/2023,38,30,78.95
58,"Centre for Forest and Natural Resource Management Studies (CEFNARM), Dullapally, Hyderabad",Haritha haram- initiation of improving & intending green cover outside the RF & development of urban forest blocks,06/02/2023 To 10/02/2023,35,16,45.71
59,"NAgaland State Biodiversity Board (NSBB), Kohima",Community Reserve,06/02/2023 To 08/02/2023,35,0,0
60,"VYAKTI VIKAS KENDRA, Art of Living, Bengaluru",Building Competencies for Personal Excellence,06/02/2023 To 10/02/2023,36,8,22.22
61,"Wildlife Crime Control Bureau (WCCB), New Delhi",Wildlife Crime and Illegal Wildlife Trade,06/02/2023 To 08/02/2023,35,22,62.86
62,"G.B Pant Social Science Institute (GBPSSI), Prayagraj, UP",Resources and livelihoods of adivasis in India: applicability of PESA and FRA act,06/02/2023 To 08/02/2023,40,13,32.5
63,"XIM University, Bhubaneswar",Innovation management,06/02/2023 To 10/02/2023,37,0,0
64,"Institute of Wood Science and Technology, Bangalore",Bamboo/Wood Resource Development and Value Addition for Sustained Livelihood,20/02/2023 To 24/02/2023,32,7,21.88
65,"Shri Mata Vaishno Devi University, Katra",Disaster Management,22/02/2023 To 24/02/2023,42,13,30.95
66,"Goa Institute of Training & Studies (GITS), Goa",Communication and Presentation Skills,22/02/2023 To 24/02/2023,59,26,44.07
67,"Foundation for Revitalization of Local Health Traditions (FRLHT), Bangalore",Institute conservation models for Medicinal plants conservation,22/02/2023 To 24/02/2023,42,20,47.62
68,"Wildlife Crime Control Bureau (WCCB), New Delhi",Wildlife Crime and Illegal Wildlife Trade,13/03/2023 To 17/03/2023,41,0,0
69,"Arun Jaitley National Institute of Financial Management, Faridabad",Public Private Partnership,13/03/2023 To 15/03/2023,43,0,0
NA,OVERALL PERCENTAGE,NA,NA,2644,1085,41.04
